Buffer Size; Block Size; Velocity
268435456;8192;5099893721
268435456;16384;5590600035
268435456;32768;5429959058
268435456;65536;5303423970
268435456;131072;5808405409
268435456;262144;5575041402
268435456;524288;5215731708
268435456;1048576;4937288822
268435456;2097152;4675191249
268435456;4194304;4641120637
268435456;8388608;4624410284
268435456;16777216;4060927899
268435456;33554432;4763167620
268435456;67108864;4023132293
268435456;134217728;3178161385
268435456;268435456;2222552584
536870912;8;146214440
536870912;16;376573272
536870912;32;781973453
536870912;64;1572190752
536870912;128;2566893512
536870912;256;3308085883
536870912;512;3915893173
536870912;1024;4543996479
536870912;2048;4766360332
536870912;4096;4987304972
536870912;8192;5095343918
536870912;16384;5553415727
536870912;32768;5503517788
536870912;65536;5435759209
536870912;131072;5899453449
536870912;262144;5797209888
536870912;524288;5541778874
536870912;1048576;5179302044
536870912;2097152;4470496885
536870912;4194304;4524828588
536870912;8388608;4555119267
536870912;16777216;4038141496
536870912;33554432;5474810956
536870912;67108864;4702072755
536870912;134217728;4044941379
536870912;268435456;3132598009
536870912;536870912;2173346471
1073741824;8;146844220
1073741824;16;381511441
1073741824;32;801028176
1073741824;64;1622677342
1073741824;128;2603910014
1073741824;256;3383579780
1073741824;512;3905623500
1073741824;1024;4681112245
1073741824;2048;4987281807
1073741824;4096;5155268131
1073741824;8192;5235543081
1073741824;16384;5822168731
1073741824;32768;5822263442
1073741824;65536;5666856613
1073741824;131072;5971319784
1073741824;262144;5810810077
1073741824;524288;5646206030
1073741824;1048576;5318844948
1073741824;2097152;4477076874
1073741824;4194304;4509824347
1073741824;8388608;4623514216
1073741824;16777216;4092931987
1073741824;33554432;5395741786
1073741824;67108864;5177029599
1073741824;134217728;4759050903
1073741824;268435456;4092619978
1073741824;536870912;3176591189
1073741824;1073741824;2200011113
